"Sample","MEblue","MEcyan","MEpink","MEblack","MEgreen","MEtan","MEred","MEsalmon","MEmagenta","MEbrown","MEyellow","MEpurple","MEgreenyellow","MEturquoise","MEgrey"
"15",0.0149829870598105,0.306696323772205,0.675659579273422,-0.0427966743368059,0.138172084525091,0.177773182338789,-0.0795300367827789,0.0758570736962479,0.0155535198698364,-0.0451673551224735,0.0516425935828852,0.000197364445384283,-0.0407847884365904,0.0937621417950995,-0.216401758992942
"16",0.182462492992501,0.114944557574634,-0.00167690439569546,0.082702110229483,0.0372026525340754,0.102817359515977,0.0877057685966026,-0.0271407191269153,-0.0356397539604042,-0.11877786082743,-0.0992973316366053,0.310706927398134,-0.105859729409513,0.00360733268877521,0.0103372132117414
"17",0.232779425095838,0.179856514419677,-0.071839343269047,-0.138246376979159,-0.180007786079355,0.0456555348336748,0.29892038258394,-0.0107570833293387,-0.0774665352887889,-0.229512074949197,-0.170266573357564,-0.244767897939072,-0.192094337112512,-0.325117088586541,-0.186237223829684
"18",-0.187168131077718,0.11588773449108,-0.22288505873032,-0.194020626595165,-0.292498478797117,-0.442833501728214,0.370827004638319,0.91126015837924,-0.0704999202394364,0.152082239284292,0.251362391778679,0.0242091590030266,-0.127746877202528,-0.284142229837519,0.0166484260623626
"19",0.153862601749357,0.135782491286261,-0.0588424051399698,-0.079945286268273,-0.0109781439128703,0.0563167887803668,0.149503507767245,0.0509859606660489,-0.0644460022037854,-0.110689982212737,-0.122865025107189,-0.186008352708206,-0.11550583336884,-0.0217518466440636,-0.233931555692505
"20",-0.137198869279646,0.0878045527937607,-0.045039423452168,0.00030407895886285,0.309065306950169,0.278869740383284,-0.0576613892769804,0.0110661285956362,-0.054603100518275,-0.0244503867346121,-0.171733661638511,0.0828321460589087,0.0452114892246564,0.267238142399434,-0.297578969338521
"21",0.220653693628582,0.0678761658774577,-0.0891348569870798,-0.104921608322214,-0.170589042891077,0.049152689976706,0.284149433362492,-0.0753153349136372,-0.0574668868646162,-0.201608559964569,-0.101901228249837,-0.20722605767197,-0.103008126426978,-0.261842692903699,0.239181053991969
"22",-0.0493389383382637,-0.118286805126512,0.117682805261978,0.0919725519438362,3.61385270412906e-05,0.0116670475295025,0.0363887826420412,0.0354634040303398,-0.0104806904401056,0.0156314975271215,0.223663173099838,0.0955901344716417,-0.0889185823801513,-0.0562988018059643,0.315892511766127
"23",0.0611330759116957,0.432569327397261,0.201790928158335,0.0497614884778088,0.181308367336724,0.126819976834152,0.0552553840400157,0.0292887902521335,-0.0709940508417384,-0.101127616431294,-0.0806164628836478,0.195441986321154,-0.0753451245639276,0.0790422651737058,-0.311523350443066
"24",-0.192669993527752,-0.0364521019017629,-0.111463419540824,0.00282444659980874,-0.0846069634450066,-0.153886374218361,0.0659464974773588,-0.0769041487775785,-0.00284948009804151,0.253357348985376,0.185760480060078,0.131399191034794,0.210071192913086,0.164794594998663,-0.252925321096238
"25",-0.0694479068823813,0.144622154223957,0.137916666729618,0.424935463135706,0.634958949673932,0.356690640983279,-0.118160176267373,0.093711949853472,-0.04000820903501,-0.110400922863828,-0.238435451100042,-0.116328978665782,-0.0755589632455498,0.177534137165297,-0.223568723606253
"26",-0.129848585872845,0.160976365420894,-0.19551973583275,0.741702258814357,0.145325599475059,0.0415565897911071,0.0841212062924834,0.00925721074394023,0.0322727822392064,0.0707750889682876,0.152074914770709,0.373916180644387,0.0105551103072477,0.123919997072647,-0.152083787794571
"27",0.251281596288855,0.129733945786106,0.0101216849882352,-0.0216615290406354,-0.0725308177591266,0.0657683557645373,0.142053079008111,-0.112367559489363,-0.0329771079001874,-0.231776997200009,-0.153381011277689,-0.231326256464656,-0.123733026953212,-0.259341787736773,-0.0728705393624349
"28",-0.12408285846064,-0.297654279747057,-0.113781167878986,-0.113472477236697,-0.208181745413004,-0.199497924818226,0.361513229380491,-0.123344645918887,-0.0985958730987803,0.223359121037939,0.0160877353767526,-0.0347906262681373,0.207247755161504,0.0601210765661625,-0.138200553058321
"29",-0.227661671887869,0.015936487824479,-0.227164913804093,-0.0706756844710152,-0.199805199569134,-0.261181085998645,0.104495252214588,-0.0274071842324934,0.122696044755811,0.324097671155725,0.248571248636611,-0.0417120188308112,0.0344234854239266,0.0456851809573526,0.226920337828398
"30",-0.144480988436214,0.0413634820695265,-0.0842754070012654,-0.0959764353029094,-0.0744132069357852,-0.251502952356533,-0.159025958606302,0.171875259803354,0.940508562315192,0.141454303660653,0.480735340541199,0.363289200945305,-0.0937921821429686,-0.12416386285595,0.112352364806631
