"","SRR26436341","SRR26436342","SRR26436343","SRR26436344","SRR26436345","SRR26436346","SRR26436347","SRR26436348"
"PIK3R3",69.5884214696634,52.4172128308957,21.5261835962127,53.8461069557513,73.4878229063777,140.687815251069,35.9379608311409,77.028599325142
"PIK3R4",26.2889592218728,51.4641725976067,30.1366570346978,20.4478887173739,37.9291989194208,35.9653061544087,51.8533434849319,43.1360156220795
"PIK3R5",4756.75520979299,4366.83034893026,4893.61907087235,3906.228341309,4184.0647557986,4883.87701514426,4087.68634482206,5031.50810791827
"PIK3R6",349.48851671431,327.845840251421,192.3005734595,158.130339414358,442.112224904498,393.502761454119,341.410627895839,369.737276760682
"PIKFYVE",2093.83828155387,2040.45913947178,2300.43148698193,2508.2743493312,2010.2475427293,2168.49640048641,1859.53277329132,1955.4993748676
"PILRA",7155.23613644739,8327.6655584794,8647.78549005185,8173.02112033435,10845.3803160219,8676.10120819,9418.8261344016,8196.87001618611
"PILRB",1469.08889769289,1615.40319542488,1581.45695486843,1710.12509306304,2281.67837249641,1911.4502417946,1276.31100894595,1520.0310266828
"PIM1",1714.9679868857,2394.99010625529,2274.60006666647,5085.38992401089,4821.74941263136,1586.70468328274,8182.56028181035,5918.87757214391
"PIM2",137.630433573334,252.555661821589,205.216283617228,373.514767237364,306.989453754062,154.43925583952,205.873175618393,221.842366056409
"PIM3",2441.78038890219,2024.25745550586,2486.99174481577,5100.38504240363,4863.23447394948,1567.66422708334,5071.87307215488,4676.14950303162
"PIN1",1401.04688558922,1359.98841290342,1313.09719936897,1481.10873942845,1395.08334775495,1271.47935287057,1585.37747209376,1526.19331462881
"PIN4",395.880797694085,490.815720143842,477.881275835922,325.121430606245,337.806927876091,395.618367698496,253.105924139321,335.844693057619
"PINK1",2907.24960806594,2534.13398031549,2383.66606355395,1463.38723587339,1582.35876741959,2522.86044641955,1813.84022309173,1731.60291282919
"PINLYP",13.9176842939327,11.4364827994682,20.0911046897985,21.8110812985322,11.852874662319,32.7918967878432,6.67419272578332,20.5409598200379
"PINX1",248.971907924796,212.52797202345,225.307388307026,214.702831532426,187.27541966464,250.699339958672,194.578387928606,209.517790164386
"PIP",0,0,0,0,0,0,0,0
"PIP4K2A",4388.70978068677,5952.68929712318,5275.35005997852,6355.20381335981,5620.63316487167,5068.99256152725,5470.2710379401,4992.4802842602
"PIP4K2B",2413.94502031432,2497.9184514505,2040.68220492096,2416.9404463936,2260.34319810423,2440.35180288885,2393.46819135399,2509.07824201763
"PIP4K2C",621.656565128993,771.009548730812,608.473456319612,1281.40102628877,1306.18678778755,661.126951367807,1105.86239471825,750.772081422384
"PIP5K1A",1665.48288717394,1698.31769572102,1660.38629472121,1745.56810017315,2019.72984245916,1517.94748034048,2193.75580902093,2442.3201226025
"PIP5K1B",143.816071037304,133.425632660462,182.255021114601,64.7516476050174,87.7112725011605,43.3699280097281,48.7729468422627,6.16228794601136
"PIP5K1C",1422.69661671312,1686.88121292155,1288.70085795993,1438.16817312197,1339.37483684205,1636.4214300256,1833.34940182863,1517.9769307008
"PIP5KL1",0,19.0608046657803,27.2664992218694,4.77117403405391,4.7411498649276,7.40462185531944,5.64739384489358,2.05409598200379
"PIPOX",0,14.2956034993352,12.9157101577276,8.17915548694957,11.852874662319,10.5780312218849,12.3215865706769,7.18933593701325
"PIR",0,0,0,7.49755919637044,0,0,0,0
"PIRT",0,0,0,0,0,2.11560624437698,0,0
"PISD",4809.33312823674,4871.94167257344,4352.59432315421,4673.02416821052,4687.81192894716,5619.05018506526,4056.88237839537,4787.07068605982
"PITHD1",1255.68440518593,1131.25875691406,1158.10867747624,738.168782697198,819.033639166242,1269.36374662619,876.886244279839,967.479207523783
"PITPNA",2809.82581800841,2472.1863651517,2557.31061123007,2949.94874562648,2685.86139848148,2792.60024257762,3138.92417887994,2293.39816390723
"PITPNB",2062.91009423402,2108.1249960353,2522.86871747613,2362.41274314727,2082.55007816945,2168.49640048641,2234.31436481608,2169.125356996
"PITPNC1",1490.73862881679,1725.9558624864,1545.57998220807,1233.00768965765,1160.39642944103,1682.96476740189,1332.27154795444,1806.57741617233
"PITPNM1",6177.90541714012,6245.2726487429,6103.3905889795,4927.94118088711,5515.14258037703,5845.4200532136,6427.76099436978,8443.36153402656
"PITPNM2",37.1138247838205,46.6989714311616,124.851864858034,49.7565292122765,13.0381621285509,19.0404561993928,16.4287820942359,5.13523995500947
"PITPNM3",12.3712749279402,3.81216093315605,11.4806312513134,16.3583109738991,3.5558623986957,12.6936374662619,15.4019832133461,29.7843917390549
"PITRM1",678.873711670716,705.24977263387,759.156741493101,670.009153639285,634.128794434066,587.080732814612,736.214797597945,643.959090358187
"PITX1",0,0,0,0.681596290579131,0,0,1.02679888088974,0
"PITX2",0,0,0,0,0,0,0,0
"PITX3",0,0,0,0,0,0,0,0
"PIWIL1",0,0,0,0,0,0,1.02679888088974,0
"PIWIL2",3.09281873198504,0,7.1753945320709,0,0,0,0,0
"PIWIL3",0,0,0,1.36319258115826,0,0,2.56699720222435,0
"PIWIL4",231.961404898878,278.287748120392,297.061333627735,575.267269248786,691.022592813197,231.65888375928,458.46570031727,387.197092607714
"PJA1",323.199557492437,422.196823347033,351.594332071474,330.574200930878,387.589001457831,273.971008646819,276.722298399785,334.817645066617
"PJA2",6174.81259840813,5735.39612393328,5420.29302952635,6641.47425540305,5779.46168534674,7205.754868348,7068.99689548542,5914.7693801799
"PKD1",5839.24176598776,4721.36131571377,4790.29338961053,3998.92543682776,4103.46520809483,5328.15432646343,5473.86483402321,7233.49900062633
"PKD1L1",0,0,0,0,0,0,0,0
"PKD1L2",0,0,0,0,0,1.05780312218849,0,0
"PKD1L3",3.09281873198504,0,0,2.04478887173739,2.3705749324638,0,0,1.02704799100189
"PKD2",859.803607491841,819.614600628551,596.992825068299,723.173664304457,811.921914368851,735.173169921001,733.134400955275,815.476104855503
"PKD2L1",13.9176842939327,9.53040233289013,8.61047343848507,14.9951183927409,55.7085109128993,21.1560624437698,21.5627764986846,9.24343191901704
"PKD2L2",0,0,1.43507890641418,3.40798145289565,3.5558623986957,0,0.513399440444871,0
"PKDCC",0,0,0,0,0,0,0,0
"PKDREJ",0,0,0,4.08957774347478,2.3705749324638,2.11560624437698,0,2.05409598200379
"PKHD1",0,0,0,0,0,0,0,0
"PKHD1L1",80.413287031611,134.378672893751,21.5261835962127,50.4381255028557,46.2262111830441,11.6358343440734,92.9252987205216,108.867087046201
"PKIA",12.3712749279402,40.9807300314276,12.9157101577276,35.4430071101148,39.1144863856527,42.3121248875396,8.21439104711793,21.5680078110398
"PKIB",15.4640936599252,33.3564081651155,27.2664992218694,1.36319258115826,0,26.4450780547123,4.62059496400384,30.8114397300568
"PKIG",46.3922809797756,42.8868104980056,31.5717359411119,11.5871369398452,3.5558623986957,11.6358343440734,12.8349860111218,21.5680078110398
"PKLR",1.54640936599252,1.90608046657803,0,0.681596290579131,1.1852874662319,0,0.513399440444871,0
"PKM",11757.3504096411,12548.6807517164,13416.5526960662,11359.4837787918,12322.2484989468,9652.45348996998,13777.5873837786,12466.308514781
"PKMYT1",0,2.85912069986704,8.61047343848507,0,4.7411498649276,0,1.02679888088974,0
"PKN1",8967.62791339062,9214.94601567147,9471.52078233358,10037.8685713589,11318.3100150484,9532.92173716268,11685.4846639657,11992.8393909291
"PKN2",361.85979164225,491.768760377131,364.510042229202,265.822553325861,248.910367908699,470.722389373878,225.895753795743,298.870965381551
"PKN3",0,23.8260058322253,15.785867970556,71.5676105108087,20.1498869259423,0,54.4203406871563,28.757343748053
"PKNOX1",352.581335446295,233.494857155808,129.157101577276,213.339638951268,177.793119934785,214.734033804264,54.9337401276012,140.705574767259
"PKNOX2",0,0,0,0.681596290579131,0,0,0,0
"PKP1",0,0,0,0,0,0,0,0
"PKP2",51.0315090777532,37.1685690982715,31.5717359411119,9.54234806810783,26.0763242571018,70.8728091866289,1.02679888088974,30.8114397300568
"PKP3",0,0,0,0,0,0,0,0
"PKP4",279.900095244646,263.992144621057,215.261835962127,218.792409275901,288.024854294351,226.369868148337,247.971929734873,212.598934137392
"PLA1A",0,0,0,0,5.9264373311595,0,2.56699720222435,0
"PLA2G10",0,0,1.43507890641418,1.36319258115826,3.5558623986957,2.11560624437698,0,0
"PLA2G12A",504.129453313562,443.163708479391,390.341462544657,443.037588876435,381.662564126671,380.809123987857,551.390999037791,294.762773417543
"PLA2G12B",0,0,0,0,0,0,1.54019832133461,0
"PLA2G15",977.330719307273,828.191962728152,644.350428979967,1260.95313757139,1131.94953025146,850.473710239547,1207.00208448589,1150.29374992212
"PLA2G16",0,207.762770857005,114.806312513134,192.210153943315,497.820735817398,299.358283579343,71.8759216622819,120.164614947222
"PLA2G1B",0,0,0,0,0,0,0,0
"PLA2G2A",0,0,0,0,0,0,0,0
"PLA2G2C",0,0,0,0,1.1852874662319,0,0,2.05409598200379
"PLA2G2D",1.54640936599252,2.85912069986704,1.43507890641418,0,0,1.05780312218849,3.59379608311409,0
"PLA2G2E",0,0,0,0,0,0,0,0
"PLA2G2F",0,0,0,0,0,0,0,0
"PLA2G3",0,0,0,0,0,0,0,0
"PLA2G4A",989.701994235213,878.70309509247,721.844689926332,1038.07115055202,1037.12653295291,862.10954458362,1118.18398128893,729.204073611344
"PLA2G4B",617.017337031015,628.05351373746,704.623743049362,444.400781457593,662.575693623632,553.231032904581,559.605390084909,626.499274511155
"PLA2G4C",68.0420121036709,113.411787761393,27.2664992218694,165.627898610729,137.4933460829,138.572209006692,282.369692244679,114.00232700121
"PLA2G4D",0,0,0,0,0,0,0,0
"PLA2G4E",0,0,0,0,0,0,0,0
"PLA2G4F",0,0,0,0,0,0,1.54019832133461,1.02704799100189
"PLA2G5",0,0,0,0,0,0,0,0
