"gene","module"
"KCTD16","blue"
"MT-ND2","cyan"
"IGLV2-14","purple"
"SNORA71B","red"
"PRELP","green"
"IFI6","brown"
"MIR147B","brown"
"MYEOV","brown"
"IGKV2D-28","purple"
"SORBS2","blue"
"LOX","turquoise"
"MIR3648-2","grey"
"IL1R2","turquoise"
"SPDEF","yellow"
"MMP2","turquoise"
"PTPRR","brown"
"SAA2","green"
"SHH","brown"
"GUCY2C","yellow"
"PKP1","greenyellow"
"C5orf46","turquoise"
"HS6ST3","blue"
"VILL","yellow"
"IGHV1-69D","purple"
"UGT1A5","brown"
"APOE","turquoise"
"COL14A1","turquoise"
"MPV17L","blue"
"MT1A","black"
"ARSL","blue"
"ADAMTS14","turquoise"
"IGHJ4","purple"
"MIR23AHG","black"
"CRYBG2","yellow"
"SLC11A1","turquoise"
"HMMR","brown"
"OGN","green"
"IGKV3-15","purple"
"MIR3648-1","grey"
"LY75","brown"
"COL28A1","blue"
"PEG10","blue"
"BIRC5","brown"
"NLGN4Y","grey"
"FGG","grey"
"SCG3","pink"
"SLC9A4","yellow"
"HHLA2","yellow"
"MS4A1","turquoise"
"ZNF469","turquoise"
"KSR1","blue"
"RNU4-1","red"
"SNORA49","red"
"KIF12","blue"
"SNORA9","red"
"MIR205HG","greenyellow"
"EFNA5","turquoise"
"MT-ND4","cyan"
"C11orf86","yellow"
"GC","blue"
"C5","blue"
"MRC1","turquoise"
"SLC26A9","grey"
"ABHD17C","brown"
"OAS2","brown"
"CCDC110","blue"
"UGT1A4","brown"
"SLIT3","green"
"BUB1","brown"
"S100A4","turquoise"
"CCK","yellow"
"DGAT2","green"
"CYP4F12","yellow"
"OR6T1","blue"
"ALDH3A1","brown"
"PLPP4","turquoise"
"112268447","turquoise"
"SEL1L","blue"
"THY1","turquoise"
"ITGBL1","turquoise"
"IMPA2","blue"
"GATA4","blue"
"LOC105370224","blue"
"KNL1","brown"
"AK4","turquoise"
"IGKV1-33","purple"
"IQGAP3","brown"
"CCL18","turquoise"
"FAM3D-AS1","yellow"
"MST1L","blue"
"EGR1","black"
"RTKN2","brown"
"UBE2C","brown"
"S100A11","brown"
"MSR1","turquoise"
"MT1E","black"
"MBOAT2","brown"
"WDR72","yellow"
"PPARG","brown"
"SYNPO2","green"
"CLMAT3","turquoise"
"HRH1","brown"
"100506621","turquoise"
"FGFR3","blue"
"RGN","blue"
"PTGDS","green"
"ABCA8","tan"
"RORC","blue"
"UNC80","pink"
"MYH7","blue"
"COL16A1","brown"
"SNORA23","red"
"LINC01829","blue"
"H4C12","brown"
"UGT1A3","brown"
"IGHJ5","purple"
"UGT1A7","brown"
"PLS1","yellow"
"USP32P1","grey"
"SCARNA5","red"
"SYT8","turquoise"
"UGT1A9","brown"
"TRARG1","green"
"NPR3","turquoise"
"ALDH1L2","blue"
"FAM83E","yellow"
"FBXW12","blue"
"DEPP1","blue"
"SNORA77B","red"
"CASR","blue"
"COL8A2","turquoise"
"LRRC66","yellow"
"MUC15","blue"
"LAMP5","turquoise"
"PLAUR","brown"
"ST6GAL2","turquoise"
"CELSR1","turquoise"
"LOC105377847","blue"
