"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"KIF1A",255.544025471337,-4.05185371877305,0.617918698501719,3.42612171047339e-16,8.55977827342464e-14
"AKR1B10",308.048358986896,4.7153847516811,0.764586960373552,4.02545867561997e-16,9.95016301362022e-14
"PNLIPRP2",16810.0517249364,-6.74164265666332,1.44341620322917,4.48937525444755e-16,1.09800667407462e-13
"C18orf61",38.4269049100779,-5.27095984559975,0.83859279571027,4.54968331257701e-16,1.10116553924715e-13
"107985902",53.9314847008516,-5.62881902907663,0.98348840001318,4.71310383619864e-16,1.12895842921727e-13
"MAT1A",79.313128931559,-3.96788336348893,0.603025984930289,4.94525905557163e-16,1.17248055261436e-13
"LOC105374197",56.1447824370659,-5.56355558081767,0.963885737239704,5.87817833116284e-16,1.37959064166231e-13
"LOC105376917",27.5701595195056,-5.8623745952865,0.908204134802344,6.12028880816488e-16,1.42204910457711e-13
"FXYD6-FXYD2",163.663019334955,-3.07089870629177,0.456700758674143,6.38732994164296e-16,1.46940209103044e-13
"SDC1",488.441559522089,2.83062694208638,0.41388232792249,6.75324352938348e-16,1.53004162857732e-13
"PTK6",60.219276333771,2.77273185629338,0.385656505549325,6.78262482218481e-16,1.53004162857732e-13
"BNIP3",438.913080540169,-3.16573373740425,0.472230293856166,7.17298575647439e-16,1.60254157742002e-13
"UGT1A5",25.355690190843,6.05767444838494,0.966585225718536,8.51174370519831e-16,1.88352728562174e-13
"PAK3",1150.92628411521,-3.26258851951485,0.50024663896513,9.47433806794606e-16,2.07675702838422e-13
"BHLHA15",111.571645578425,-5.31962666048037,0.962358334636226,1.04334038164604e-15,2.26560876332202e-13
"PTF1A",76.245326224165,-7.23610172251654,1.28475766636511,1.25555851213395e-15,2.70119463235485e-13
"CSDC2",44.65824255122,-3.27931963430975,0.490744308421733,1.28127304705575e-15,2.73122745397618e-13
"CTNND2",123.513214092186,-4.26803801935366,0.73334683260211,1.31848147847161e-15,2.7849924683898e-13
"PWRN2",17.0965399838853,-4.49959551949315,0.680400726012652,1.36080350320336e-15,2.84849273846217e-13
"CEACAM6",1216.2639798014,4.67382349781228,0.854092673667131,1.37413407398821e-15,2.85071475081393e-13
"IL1RN",81.6073105395311,3.3184874281363,0.49356148949589,1.55135403482366e-15,3.18988592912635e-13
"LOC107986324",27.4048411526063,-6.43417291697626,1.04200258289951,1.60899011386895e-15,3.27937590313553e-13
"NPHS1",97.0466057776031,-4.71460753235465,0.799282779078601,1.70061957909155e-15,3.43599094958193e-13
"LOC105375587",104.359407394949,-6.39750263144156,1.23229398221844,1.92578713257263e-15,3.81414780412085e-13
"LOC101929124",39.6769196740801,-4.65679468637937,0.741368845836055,1.93174587040981e-15,3.81414780412085e-13
"TEX11",89.7520472954794,-4.97168965144424,0.863198537611303,1.93703223966542e-15,3.81414780412085e-13
"KAAG1",21.8693964324872,-3.85874292051575,0.581697558052302,1.96510971273243e-15,3.83691799792756e-13
"IL2RG",57.1276722536417,2.7520518759225,0.388185969467174,1.98549380816563e-15,3.8444123860607e-13
"TDH-AS1",25.1550606639553,-7.4151318314127,1.2521419615743,2.08094505376123e-15,3.99593044001176e-13
"LOC107986855",64.0806983335712,-5.05868502810655,0.888855657738307,2.15183025163624e-15,4.09817835219411e-13
"KIRREL2",108.389881631309,-4.23007965061106,0.722075626464159,3.01764824273589e-15,5.70041113170476e-13
"SLC16A12",383.731539096981,-4.44962618018713,0.82752359942921,3.13277728280592e-15,5.87016775532222e-13
"PEX5L",132.57434938738,-4.05706145742825,0.664502876081514,3.26193863416672e-15,6.0632915331891e-13
"ALKAL2",74.2848214620505,-3.69437233116325,0.60796512231936,3.40904752860401e-15,6.2864459783424e-13
"NEXMIF",44.0074394491092,-2.54964434274099,0.363437954452255,3.48835122270653e-15,6.38203469760521e-13
"SLITRK1",15.9135955792325,-4.58348688283075,0.66172490382285,3.602293795611e-15,6.53900752664231e-13
"FXYD3",977.81641412383,4.21273449260883,0.705183781698908,4.05086283460813e-15,7.29626340791628e-13
"SLC9A2",54.3424961032364,5.1748490168603,0.826706957620168,4.57797799657303e-15,8.18225528849033e-13
"B3GNT3",138.583149782908,3.78109943440729,0.612351697133719,5.04712471057876e-15,8.95190401910669e-13
