"","GSM3747758","GSM3747759","GSM3747760","GSM3747761","GSM3747762","GSM3747763","GSM3747764","GSM3747765","GSM3747766","GSM3747767","GSM3747768","GSM3747769","GSM3747770","GSM3747771","GSM3747772","GSM3747773","GSM3747774","GSM3747775","GSM3747776","GSM3747777","GSM3747778","GSM3747779","GSM3747780","GSM3747781","GSM3747782","GSM3747783","GSM3747784","GSM3747785","GSM4490231","GSM4490232"
"MIR429",1.00361791495245,1.32519853852754,1.86731358743505,1.08273980690163,2.95533229101655,5.55152382708664,4.45128552697263,0.760648312287256,17.6461009242617,3.82348986967419,7.49445557990518,0,0,5.72783050045638,4.76342697071402,1.00051136534634,3.34537662045108,4.5624346996944,2.41594584774189,1.1013502106945,0,0.550775793837408,0,0.579930009160012,0,8.59232886949533,1.65839496386968,0,2.94107097445466,3.12187322586193
"TTLL10-AS1",0,1.32519853852754,5.60194076230514,1.08273980690163,8.86599687304966,2.37922449732284,0,0.380324156143628,7.05844036970467,2.54899324644946,4.99630371993678,3.3571910763022,0.868523798926396,0.818261500065197,22.2293258633321,1.00051136534634,0,1.1406086749236,1.20797292387094,1.1013502106945,0,2.20310317534963,0,0.579930009160012,0.909966534532619,16.4035369326729,0,0.807436430429851,1.1029016154205,0.585351229849112
"TTLL10",1.00361791495245,0.441732846175847,1.86731358743505,1.08273980690163,5.91066458203311,2.37922449732284,1.11282138174316,1.52129662457451,3.52922018485233,2.54899324644946,2.49815185996839,0,2.60557139677919,0.818261500065197,22.2293258633321,2.00102273069269,6.69075324090216,5.70304337461799,0,0,2.40666480523241,7.1600853198863,6.34161619459192,2.89965004580006,5.45979920719571,32.025953059028,0,0,0.367633871806833,1.56093661293097
"TNFRSF18",0,0.883465692351694,0,7.5791786483114,0,24.5853198056694,1.11282138174316,4.94421402986717,0,8.9214763625731,0,2.23812738420147,0,7.36435350058677,4.76342697071402,0,0,0,0,4.40540084277799,0,0.550775793837408,0,2.89965004580006,0,16.4035369326729,0,0.807436430429851,2.57343710264783,13.4630782865296
"TNFRSF4",2.00723582990491,3.53386276940678,0,12.4515077793687,1.97022152734437,34.8952926274017,0,5.32453818601079,3.52922018485233,14.019462855472,7.49445557990518,1.11906369210073,2.60557139677919,2.45478450019559,1.58780899023801,3.00153409603903,0,0,0,14.3175527390285,0,0.550775793837408,6.34161619459192,3.47958005496007,2.72989960359786,17.9657785453084,0,0,2.94107097445466,10.1460879840513
"SDF4",302.088992400688,171.392344316229,295.035546814737,302.084406125554,252.188355500079,313.264558814174,333.846414522947,211.079906659714,430.564862551985,258.085566203008,404.70060131488,151.073598433599,117.250712855063,270.84455652158,279.454382281889,280.143182296976,267.630129636086,196.184692086859,277.833772490317,242.297046352789,286.393111822657,156.971101243661,348.788890702556,324.760805129607,234.771365909416,223.400550606879,300.169488460412,95.2774987907224,152.200422928029,614.228557188335
"B3GALT6",34.1230091083834,22.0866423087924,37.3462717487009,67.129868027901,27.5831013828212,42.8260409518112,24.4820703983495,21.2981527440432,52.938302772785,38.8721470083542,52.4611890593362,14.5478279973095,26.9242377667183,35.1852445028035,26.9927528340461,38.019431883161,16.7268831022554,14.8279127740068,22.951485553548,18.7229535818064,12.0333240261621,24.7849107226834,44.3913133621434,28.4165704488406,34.5787283122395,9.37344967581308,24.8759244580452,13.7264193173075,18.7493274621485,24.5847516536627
"C1QTNF12",0,0.883465692351694,1.86731358743505,0.541369903450814,5.91066458203311,5.55152382708664,0,0,1.76461009242617,31.2251672690059,4.99630371993678,1.11906369210073,0,22.0930605017603,0,2.00102273069269,0,1.1406086749236,1.20797292387094,11.013502106945,0,0.550775793837408,0,5.79930009160012,2.72989960359786,1.56224161263551,1.65839496386968,0.807436430429851,9.55848066697766,42.7306397789852
"UBE2J2",81.2930511111487,65.8181940802012,113.906128833538,102.318911752204,97.5259656035463,163.373415482835,50.0769621784421,68.8386722619967,111.170435822848,103.234226481203,124.90759299842,117.501687670577,65.1392849194797,111.283564008867,87.3294944630904,75.0383524009757,107.052051854435,117.482693517131,97.8458068335465,94.7161181197267,103.486586624994,60.5853373221149,114.149091502655,95.688451511402,109.195984143914,103.107946433944,92.8701179767022,71.8618423082567,93.7466373107424,159.605768672191
"LINC01786",2.00723582990491,1.32519853852754,7.46925434974018,1.62410971035244,9.85110763672185,5.55152382708664,7.78974967220211,1.90162078071814,14.1168807394093,5.09798649289892,0,5.59531846050367,4.34261899463198,1.63652300013039,3.17561798047601,7.0035795574244,0,1.1406086749236,3.62391877161283,9.91215189625047,2.40666480523241,2.20310317534963,6.34161619459192,2.89965004580006,0.909966534532619,3.90560403158878,1.65839496386968,0.807436430429851,1.47053548722733,5.65839522187475
"SCNN1D",5.01808957476226,2.20866423087924,28.0097038115257,8.66191845521303,23.6426583281324,14.2753469839371,8.90257105394527,1.90162078071814,45.8798624030803,15.2939594786967,17.4870630197787,2.23812738420147,3.47409519570558,3.27304600026079,20.6415168730941,17.0086932108878,10.0361298613532,9.12486939938879,6.03986461935472,28.6351054780569,0,8.26163690756112,0,15.0781802381603,4.54983267266309,13.2790537074019,11.6087647470878,0.807436430429851,1.47053548722733,27.7066248795246
"ACAP3",66.2387823868619,52.12447584875,89.6310521968822,77.4158961934664,159.587943714894,245.853198056694,37.8359269792674,40.6946847073682,188.8132798896,154.214091410192,142.394656018198,48.1197387603315,86.8523798926396,111.283564008867,173.071179935943,80.0409092277074,26.7630129636086,141.435475690526,57.9827003458054,128.857974651256,26.4733128575566,64.4407678789767,69.7577781405111,52.1937008244011,62.7876908827507,56.2406980548785,81.2613532296144,30.6825843563343,41.5426275141721,130.923558409585
"PUSL1",30.1085374485736,11.485054000572,41.080898923571,28.1512349794423,24.6277690918046,35.6883674598427,17.8051421078905,14.4523179334579,33.5275917560972,22.3036909064328,44.9667334794311,22.3812738420147,14.7649045817487,58.9148280046942,28.5805618242841,19.0097159415805,53.5260259272173,44.4837383220204,26.5754043251608,23.1283544245844,28.879977662789,21.4802559596589,50.7329295567353,31.3162204946407,23.6591298978481,22.652503383215,31.5095043135239,24.2230929128955,25.7343710264783,31.2187322586193
