"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"CHD9NB",39.2497076827003,-0.34223264536635,0.378731200026807,0.220898347638246,0.381009064462522
"CHD9",1047.26638634036,-0.0836142393613684,0.132984771344876,0.518912288883923,0.676709155986864
"LOC102723373",1.38851898866733,0.152247260798848,0.631013784583604,0.836668063091536,0.905322146226975
"RBL2",653.584960297325,-0.493034556150504,0.111095158356036,5.62125624522713e-06,7.90138468589549e-05
"AKTIP",141.056397473617,-0.0677795277439096,0.148645117052553,0.632450952192296,0.766965727844727
"RPGRIP1L",83.9535435129872,0.20708145959567,0.252093211215817,0.349216236177774,0.523216355918917
"FTO",337.751502199932,-0.285390920050239,0.168338800022292,0.0728787893288344,0.171494700228425
"FTO-IT1",11.082095670097,-0.240530268131053,0.271965457018849,0.318785822466285,0.492060624792674
"LOC105371271",22.5386772335327,-0.348014167423638,0.306951852878478,0.174169624408304,0.32150879662564
"IRX3",6.18866846749995,-1.11883124107011,0.659461109907078,0.00535035458521955,0.0229068525497653
"CRNDE",37.596416102796,1.0036956965686,0.561954787033349,0.00671010727569801,0.0275263669757845
"IRX5",5.03053864971238,3.74287336289981,1.22331841326988,2.19494288096581e-05,0.000250981780704924
"IRX6",1.92977300043834,-0.160489383329837,0.659820903907247,0.196341044596375,0.350570773916298
"MMP2-AS1",1.54334395825562,0.351176851166492,0.750263342693556,0.300173607566337,0.471762295170714
"MMP2",671.438732945964,0.53821923644102,0.532229535493994,0.066930790950692,0.160754282379505
"LPCAT2",200.640333782799,1.11725367539365,0.352104864699246,0.000105554628792703,0.000924448473425725
"CAPNS2",3.29882665863396,1.76962593113427,1.12770700021815,0.00744211957502025,0.0298855251167638
"CES1P1",3.36760600554558,-0.15559842186974,0.604066846581958,0.264587066510022,0.432454031017723
"CES1",60.2471442119863,-0.227098334971384,0.441244388408845,0.407677493440743,0.578925960157417
"GNAO1",34.3645786569499,-0.200577409228675,0.418714836470683,0.470013639675075,0.635345262830116
"AMFR",452.520762174177,0.0485946333596249,0.139309878631268,0.730377010907001,0.836057739393517
"NUDT21",434.842813044879,0.27960182720141,0.169863472911006,0.083510748506329,0.189470973688561
"OGFOD1",111.475900503971,0.246894444458173,0.194525826416237,0.173431841628658,0.320554358463278
"BBS2",144.473916282283,-0.153989896536306,0.158850368970716,0.31019237117342,0.48283779354287
"MT2A",668.189559724649,-0.374272790076004,0.455683154463616,0.183932170157586,0.334980954504716
"MT1L",15.3891310453444,-0.405488394212351,0.440511235612811,0.171298176518257,0.317748134392599
"MT1E",465.001025868156,-0.462315498485108,0.510891071186536,0.102539159981511,0.220173494332354
"MT1M",180.643636498318,-0.649300847625135,0.602364780061468,0.036071700484555,0.101176094662068
"MT1JP",3.95018832672075,-0.163110097241795,0.605028385369635,0.357271311956085,0.531276731731176
"MT1A",47.1419568188042,-0.223727491617242,0.520361661920847,0.377001574854896,0.550470155957614
