"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"GBP5",5172.39348937665,3.02842613814403,0.663491177118946,2.03780622945337e-07,1.77261788858692e-05
"KCTD14",342.237607438119,6.36682664362104,1.41777422817083,2.07842404777692e-07,1.7840035816713e-05
"MYO10",304.380624359163,1.67012109629155,0.363677199448026,2.0652431030667e-07,1.7840035816713e-05
"ADARB1",663.065390343958,1.66156387421908,0.362144256045322,2.0982635295221e-07,1.78918378987736e-05
"H2AFJ",1281.7361343441,0.810964379676397,0.173225989852597,2.13059873101169e-07,1.80488170932304e-05
"SOCS6",626.245768341673,-0.64272254811897,0.136485308742015,2.37953837209436e-07,1.99077590013757e-05
"STAT2",8240.70633991835,1.51544863545438,0.329488955467862,2.38075969849026e-07,1.99077590013757e-05
"RUNX1",3383.32114044948,0.628134339221253,0.133098583850409,2.42221741158146e-07,2.01245896612226e-05
"ANKRD22",870.214978962856,3.70891791203357,0.822089232720148,2.45953963382629e-07,2.03045179579762e-05
"BLVRA",5067.46448932432,1.0424895053392,0.227300739289997,2.50078995708339e-07,2.05143915403531e-05
"FBXO6",1213.40412858911,1.57721622228382,0.346366871072713,2.57511826163808e-07,2.09912627604347e-05
"B3GNT8",617.901316654092,0.960129977463626,0.208529386050586,2.68512302715424e-07,2.17511747218413e-05
"CDIP1",843.535329774806,-0.985704519464243,0.214935800539073,2.73517852153764e-07,2.20190365327015e-05
"MOV10",2134.05033712831,1.62940286820625,0.359662703579306,2.81316853159833e-07,2.25070847765716e-05
"NHS",522.422411054456,-0.903924328325095,0.197320072362033,3.03643091929286e-07,2.41442829110152e-05
"ARNTL2",270.400567771083,1.51710112398625,0.33690395330028,3.2499575026398e-07,2.56845726778747e-05
"SAMD9L",13258.2393993304,2.78388770410327,0.620970097629858,3.30289202659462e-07,2.59447173070866e-05
"LMO2",7810.51754017733,0.699514208669659,0.151444887420133,3.42176701194613e-07,2.67165796637553e-05
"BATF2",886.387713799463,2.57120154363162,0.577112909387477,3.45842584041444e-07,2.68411121662345e-05
"AIM2",929.240510511702,2.50618821763715,0.564013759018564,3.67133716301839e-07,2.82547714347522e-05
"TMEM106A",1187.66750740074,1.20361087564322,0.268036089221101,3.68417280493258e-07,2.82547714347522e-05
"CYB5R4",1069.90771519445,-0.988799015635569,0.21898977987776,3.85256264622849e-07,2.93723908575103e-05
