"","SRR26436341","SRR26436342","SRR26436343","SRR26436344","SRR26436345","SRR26436346","SRR26436347","SRR26436348"
"TMEM175",920.619674874493,1474.53054521691,736.929922751917,2554.69601113011,1683.96016063895,1404.89859166186,2897.57487183237,1270.07507388846
"TMEM176A",3551.41587810652,287.476306960143,143.756438827627,121.360924957534,2703.94397949647,87.7873130898773,4880.99960280556,3200.02538761708
"TMEM176B",4190.26952386152,776.159816193896,224.847493568698,196.264370724795,7147.17004688321,102.069786190844,8894.47781459033,8508.41128816642
"TMEM177",27.1966007914519,69.5367753876513,15.6641215845953,62.9572043811647,27.6336754916003,46.537646879884,49.1468373064926,25.0407375134351
"TMEM178A",0,0,0,0,3.00776241369392,0,0,0
"TMEM178B",0,0.998691523806374,1.01027451416288,3.00818381646894,1.00270887941818,0,0.992284723598503,0.994761740734416
"TMEM179",0,0,0,0,0,0,0,0
"TMEM179B",734.511299299991,1128.4179800764,762.944990238871,2086.25201723398,1278.7056257815,1099.33905940191,2383.31721958934,1025.62270381286
"TMEM18",427.404124287695,662.353862885362,436.885601207708,632.482837975779,413.417841124578,680.320795830778,892.069292800333,434.451506688502
"TMEM181",47.4829622531175,0,18.7458942747474,0,0,0,9.66851255038659,0
"TMEM182",7.0633347244835,10.8469721203218,8.10988208066885,27.3157923635545,35.4773774963833,9.08415352821372,20.4054088993968,7.98973454708801
"TMEM183A",0,0,0,0,0,0,0,0
"TMEM184A",0,0,0,0,0,0,0,0
"TMEM184B",286.056528648531,407.564830044106,318.370643184744,384.868612992269,243.118924030094,247.828816112117,363.813865996532,420.152876914081
"TMEM184C",980.418827156797,1821.98360400708,1184.92032450411,2094.6813126628,1517.67862423295,1567.98562150635,3129.48311311455,1683.01379409446
"TMEM185A",419.212919422666,690.611275149521,466.684028578976,829.187413560808,295.989278494996,490.211170998623,773.533360127387,510.424281184825
