"","SRR26436341","SRR26436342","SRR26436343","SRR26436344","SRR26436345","SRR26436346","SRR26436347","SRR26436348"
"VPS37C",7.899399,4.644569,9.240053,6.694185,7.200337,7.73142,2.28462,4.485211
"VPS37D",0,0,0,0,0,0,0,0
"VPS39",26.57635,25.741988,24.219983,29.363957,28.127381,28.435121,24.309791,27.36634
"VPS41",12.021474,18.831052,13.058118,19.850644,19.769421,19.23932,17.784326,17.142345
"VPS45",0,0.759669,0.378308,0.529113,0.800316,0.701364,0.333256,0.273184
"VPS4A",0,0,0,0,0,0,0,0
"VPS4B",55.003339,51.376401,50.030418,59.173615,56.185002,54.365776,48.037313,45.206909
"VPS50",1.758422,5.232813,1.87447,6.13427,7.972141,3.8844,3.375968,3.689358
"VPS51",72.817683,65.212064,61.044039,43.319588,34.844895,66.863603,48.156866,59.538385
"VPS52",12.814658,12.691627,15.568472,13.190445,12.699591,12.821111,13.443923,14.34188
"VPS53",6.660952,4.104743,3.603166,5.473512,5.855445,4.078193,5.218214,4.711345
"VPS54",19.758678,17.27143,16.521041,15.597008,17.205688,17.979684,15.422595,17.707237
"VPS72",29.477563,27.749101,27.335329,28.284541,30.471805,27.329827,25.509237,26.937275
"VPS8",17.555364,22.072299,20.01988,16.469891,17.543662,17.55056,22.894083,19.330619
"VPS9D1",3.435006,7.397203,6.326007,10.854678,10.850493,8.56685,15.026393,7.364999
"VRK1",7.451484,9.658336,5.877314,5.910544,5.792036,6.050595,5.134033,5.466229
"VRK2",12.789165,12.278518,10.786591,26.322719,27.882938,13.841319,23.751189,13.247835
"VRK3",32.998842,20.899646,22.223202,26.00736,31.418128,30.755554,25.92905,21.552369
"VRTN",0,0,0,0,0,0,0,0
"VSIG1",0,0.329095,0.2489,0.269146,0.427096,0.262289,0.04668,0
"VSIG10",1.046351,0.655519,1.208079,0.287582,0.304187,0.409935,0.700791,0.668575
"VSIG10L",0.610096,0.614714,0.402099,2.650612,2.540083,0.588515,1.746991,1.295417
"VSIG2",0,0,0.050025,0,0,0,0,0
"VSIG4",3.131163,6.434973,5.58761,2.015759,1.895518,8.095103,11.73164,4.530445
"VSIG8",0.070049,0.070503,0,0.036154,0,0.116329,0,0.027799
"VSNL1",0,0,0,0,0,0,0,0
"VSTM1",21.331658,160.993054,101.756941,15.863672,75.729591,39.403017,97.443117,68.040039
"VSTM2A",0,0,0,0,0,0,0,0
"VSTM2B",0,0,0,0,0,0,0,0
"VSTM2L",0,0,0,0,0,0,0,0
"VSTM4",0,0,0,0,0,0,0,0
"VSTM5",0,0,0,0,0,0,0,0
"VSX1",0,0,0,0,0,0,0,0
"VSX2",0,0,0,0,0,0,0,0
"VTA1",21.319026,22.817014,19.765189,34.121109,31.17191,26.705072,23.902008,24.613147
"VTCN1",0,0,0,0,0,0,0,0
"VTI1A",11.256981,11.143577,11.948411,12.415846,10.684593,11.07445,10.496681,10.966988
"VTI1B",39.715572,45.887889,46.047185,54.196059,59.705991,45.824874,49.911436,65.262846
"VTN",0,0,0,0,0,0,0,0
"VWA1",0,0.034063,0.024454,0,0.02036,0,0,0
"VWA2",0,0,0,0,0,0,0,0
"VWA3A",0,0.05577,0,0.130803,0,0.051968,0.054828,0.075598
"VWA3B",0,0,0,0.020742,0.016981,0,0.113152,0
"VWA5A",7.089384,5.9493,7.078077,10.675284,10.40294,6.850499,8.819446,10.963395
"VWA5B1",0,0.009194,0,0.00646,0,0,0,0
"VWA7",0.185001,0.168521,0.381381,0.377971,0.374327,0.080769,0.10367,0.194548
"VWA8",0.266128,0,0.074035,0.126053,0,0.185095,0.194962,0.113523
"VWA9",10.222023,10.387367,12.632931,15.516285,16.907455,10.434797,12.537056,13.627519
"VWC2",0,0,0,0,0,0,0,0
"VWC2L",0,0,0,0,0,0,0,0
"VWCE",0,0.044339,0.347583,0,0,0,0,0
"VWDE",0,0,0.01034,0.010452,0.069557,0,0.003624,0
"VWF",0.016511,0.170625,0.164054,0.023346,0.104925,0.030038,0.005562,0.009455
"WAC",30.184349,31.359008,34.093417,34.13527,20.213266,33.376539,19.418095,20.510325
"WAPL",27.561796,22.286698,27.757727,27.106907,22.503064,26.999257,20.055832,18.308692
"WARS",212.468737,272.133745,232.548809,484.28808,596.869687,202.444124,558.809883,255.370564
"WARS2",2.994661,2.881561,4.182467,3.24022,3.079133,4.942009,2.160671,3.447478
"WAS",186.63582,204.502965,190.488644,261.534457,267.187945,224.367724,222.682927,201.424851
"WASF1",0.920563,0.842322,1.967581,1.311735,1.006051,0.88766,2.791283,4.440213
"WASF2",104.113319,88.332285,97.558893,101.452721,97.950364,98.675781,111.346142,102.445233
"WASF3",0,0.1548,0,0,0,0,0.211396,0.266765
"WASH1",47.889811,53.361449,40.73267,28.717624,36.60501,42.116648,46.67729,46.586376
"WASH6P",63.278074,54.011153,51.175058,65.769357,51.201543,62.269004,59.148815,58.141481
"WASL",0,0,0.016433,0,0.045927,0,0,0
"WBP1",21.652288,20.945649,18.813306,18.602705,14.546136,19.219105,18.70183,18.24788
"WBP11",2.255787,1.740653,1.945693,1.473644,1.942037,2.346399,2.403621,1.568403
"WBP1L",44.700554,44.238069,51.591553,33.79955,34.91802,46.658124,39.624338,43.426587
"WBP2",114.851964,116.9285,109.527084,134.808575,122.665148,114.422115,130.622015,121.273094
"WBP2NL",0.260985,0.427706,0.311257,0.342033,0.108912,0.182486,0.553165,0.26305
"WBP4",13.522794,12.150213,9.963757,12.876486,12.112066,11.870403,10.951356,9.485302
"WBSCR17",0,0,0,0,0,0,0,0
"WBSCR22",27.993081,26.087404,24.355211,26.376853,25.163312,29.670662,22.604833,25.354377
